Name,Address,Phone Number,Website,Rating,Recent Review,Email
John Cole's Plumbing Professionals,"223 Ridgeline Rd, Aberdeen, NC 28315, USA",(910) 639-4933,http://www.jcplumbingpros.com/,4.9,"We found wet walls, carpet and ceiling in the lower level of the home.  Called John Cole's plumbing and there were here within 2 hours.  The technicians found the problem with the water heater line and took care of it right away.  Very pleased with their service.  Thank you!",admin@jcplumbingpros.com
Thomas Plumbing & Pipe Lining,"105 Parkway Dr B, Aberdeen, NC 28315, USA",(910) 727-1641,https://www.thomasplumbingnc.com/,5,"If you are wanting a fair price, professional work. You need without second thought higher Thomas Planning. A lic.& Ins. A company that will not cut corners here is your company.  I have known Thomas for a few years just never needed his services. Upon my recent project I needed a professional honest person and Thomas came right to mind.  I hired him to completely plumb water & sewer a Dr. Office that i turned into a 3 bedroom 1 & 1/2 bath home. Very neat, cleaned up after there self, complete job done in less than 3 days. I am thrilled with the results.",thomas@thomasplumbingnc.com
Pine n' Dandy Plumbing,"707 S Pinehurst St, Aberdeen, NC 28315, USA",(910) 245-7463,https://callpinendandy.com/,4.9,"Jacob did an excellent job. Very impressed with his professionalism, communication, and knowledge. He talked me through everything he was doing and explained everything in detail…he was so polite during the entire job. Jacob is an excellent ambassador for this company! Truly impressive young man, whose is mature beyond his years. He should absolutely be considered for leadership and/or management positions, such great potential.

I was nothing but impressed with this company, would certainly use again. Labor and material is very expensive these days, but their prices were reasonable. They waived the dispatch fee and gave me a 15% military discount. Overall, very pleased with my experience. I first called the company around 10AM, and job was completed by 4PM. Phenomenal turn-around for a short notice job request!",info@callpinendandy.com
Thomas Plumbing & Pipe Lining,"2598 Aberdeen Rd, Raeford, NC 28376, USA",(910) 727-1641,https://www.thomasplumbingnc.com/,5,"I recently had the pleasure of working with Thomas Plumbing on a trenchless project, and I can't express how impressed I am with the service we received. From the initial consultation to the completion of the work, the team was professional, knowledgeable, and efficient.

A special shoutout goes to Landon, who was instrumental in ensuring everything went smoothly. His expertise and attention to detail made a significant difference. He took the time to explain the process, answered all our questions, and kept us informed every step of the way. It was evident that he genuinely cared about delivering quality work and ensuring our satisfaction.

The trenchless technology they employed was not only effective but also minimized disruption to our property, which was a huge relief. The entire team at Thomas Plumbing demonstrated a commitment to excellence, and Landon’s outstanding customer service truly set them apart.

I highly recommend Thomas Plumbing for any plumbing needs, especially if you're considering trenchless solutions. Their professionalism and dedication to customer satisfaction are top-notch!",thomas@thomasplumbingnc.com
On Time Plumbing Inc.,"655 S Page St, Southern Pines, NC 28387, USA",(910) 246-0442,https://ontimeplumbingsp.com/,4.9,We would highly recommend Aaron and OnTime Plumbing.  Aaron waws scheduled the next day after I CALLED.  He called us to let us know he was on his way and was prompt and professional in every manner.  He listened carefully to the work we wanted  done and was thorough in assessing the problems.  His estimate arrived within hours of his visit and we are anxious to have him complete the items in the master bath.  Later that afternoon he called to see if we had reviewed the estimate and if we had any questions.  He said he would submit a separate estimate for the work outside.  We would give them very high ratings and recommendations and were very satisfied.,No email found
Ray's Plumbing Service Inc,"316 Springfield Dr, Aberdeen, NC 28315, USA",(910) 944-7076,http://www.raysplumbingservice.com/,4.6,Excellent customer service-came to Foxfire last week to replace our water heater and tested it first and determined we didn't need to replace at this time. Replaced a water line that was leaking and overall check. Grant/Brian were EXCELLENT. Customer service of yesteryear!! Definitely recommend Ray's Plumbing,leann@raysplumbingservice.com
"Sandhills Heating, Refrigeration & Electrical","9206 NC-211, Aberdeen, NC 28315, USA",(910) 338-3723,http://www.sandhillsheating.com/,4.9,"The 2 electricians who came to do the work did an outstanding job. They both were courteous and professional. They were respectful of keeping our house clean while working and followed safety procedures. The office staff was also friendly, helpful, and efficient, always taking our multiple calls quickly and making requested updates to our work order. The pricing was fair and competitive. I am very happy with the finished work and I highly recommend their services.",No email found
Doug Smith's Plumbing,"32415 U.S. Rte 1, Aberdeen, NC 28315, USA",(910) 944-8129,,4.3,"Doug Smith Plumbing is the best, period. During the height of covid, our water heater went out. We asked our general contractor here in Moore County who he’d recommend. Without hesitation, he told us Doug’s Plumbing. Doug came out and replaced it same day. Since then, our family has used this company exclusively. Our kids have jammed up our toilets and bathtubs, and every time these folks are on it. They are incredibly responsive. Most recently we had issues with our plumbing, which coincided with my wife giving birth to a third kiddo. Eric came out and did a full inspection and laid out options. Since our house was built in the 60’s we elected for them to replace all of the cast iron and coordinated steel piping under the house. They worked their tail off for a full day. All of our issues were fixed, and they even chopped several hundred dollars off of the original quoted price because they did not need to use as much material as they were thinking the job might need. This company is  one driven by honesty, fair pricing, hard work, responsiveness, understanding, and commitment to the labor and services they provide. My family cannot recommend this company enough if you reside in/around Moore County, NC.",No website
"Adam Harward Plumbing, LLC","186 Hulsey Rd, Carthage, NC 28327, USA",(910) 947-2962,,4.9,"We've had them at our house twice so far. One issue was outdoors and the other indoors.

The outdoor issue had a few options. I was shocked when Adam's recommendation wasn't the most expensive because it wasn't the most effective. His goal was to fix the issue, not bandage it so he could come back.

Even though the indoor issue was straight forward it was notable because his workers came in, immediately diagnosed the problem, fixed it, and left. They were very courteous, polite, and professional.

5/5 would definitely recommend.",No website
Fields & Fowler,"7718 NC-22, Carthage, NC 28327, USA",(910) 949-3232,https://fields-fowler.com/,4.8,"So happy with my experience! Karen was so helpful with getting me set up with a technician within only a hour or so. She was upfront about pricing and what to expect working with her staff. Christian was my plumber and he was great! Very knowledgeable, honest, and happy to review everything with me. He worked very quickly and efficiently despite the mess from a couple days of rain. I would recommend this team to anyone!",smcleod@fields-fowler.com
